id,title,english_title,type,source,start_air,end_air,season_premier,theme,rating,img_url
27757,Anisava,,TV,Unknown,2013-08-26,2014-01-13,Summer 2013,,PG-13 - Teens 13 or older,https://cdn.myanimelist.net/images/anime/12/67189.jpg
396,Seikai no Senki,Banner of the Stars,TV,Light novel,2000-04-14,2000-07-14,Spring 2000,,PG-13 - Teens 13 or older,https://cdn.myanimelist.net/images/anime/11/61111.jpg
34821,"Seiso de Majime na Kanojo ga, Saikyou Yaricir ni Kanyuu Saretara...? The Animation",,OVA,Visual novel,2017-04-28,,,,Rx - Hentai,https://cdn.myanimelist.net/images/anime/1482/104324.jpg
17543,D-Spray,,OVA,Visual novel,2013-03-29,,,,Rx - Hentai,https://cdn.myanimelist.net/images/anime/1459/103908.jpg
47989,Alan Jiaoshou De Mofa Zhipai,Professor Alan's Magic Solitaire Card,TV,Original,2019-01-01,,?,,G - All Ages,https://cdn.myanimelist.net/images/anime/1466/118279.jpg
41054,High & Low: G-Sword (Special),,Special,Other,2017-07-31,2017-08-04,,Parody,G - All Ages,https://cdn.myanimelist.net/images/anime/1450/105390.jpg
34825,Keppeki Danshi! Aoyama-kun,Clean Freak! Aoyama-kun,TV,Manga,2017-07-03,2017-09-18,Summer 2017,,PG-13 - Teens 13 or older,https://cdn.myanimelist.net/images/anime/9/86644.jpg
32221,Robocar Poli 2,,TV,Original,2011-12-26,2012-05-15,Winter 2012,,G - All Ages,https://cdn.myanimelist.net/images/anime/12/78248.jpg
34494,Sakura Quest,,TV,Original,2017-04-06,2017-09-21,Spring 2017,,PG-13 - Teens 13 or older,https://cdn.myanimelist.net/images/anime/6/85222.jpg
43656,Aaron He Lili,,Movie,Original,1989-01-01,,,,PG - Children,https://cdn.myanimelist.net/images/anime/1768/118615.jpg
48772,Nico Niconnect!,,Music,Original,2021-02-17,,,Music,PG-13 - Teens 13 or older,https://cdn.myanimelist.net/images/anime/1158/114484.jpg
37584,Bakumatsu,,TV,Game,2018-10-05,2018-12-21,Fall 2018,,PG-13 - Teens 13 or older,https://cdn.myanimelist.net/images/anime/1764/95110.jpg
50418,Ninjala (TV),,TV,Game,2022-01-08,,Winter 2022,,None,https://cdn.myanimelist.net/images/anime/1552/119871.jpg
50622,Kemonokko Tsuushin: The Animation - Ushi Musume Bell,,ONA,Manga,2021-12-25,,,,Rx - Hentai,https://cdn.myanimelist.net/images/anime/1323/120337.jpg
38763,Synchro Noise,,Music,Original,2013-09-03,,,Music,G - All Ages,https://cdn.myanimelist.net/images/anime/1785/96873.jpg
32547,Non Non Biyori Repeat: Hotaru ga Tanoshinda,,OVA,Manga,2016-09-23,,,School,PG-13 - Teens 13 or older,https://cdn.myanimelist.net/images/anime/13/78136.jpg
43504,Mao Mi De Hu Zi,,Movie,Original,1981-01-01,,,,PG - Children,https://cdn.myanimelist.net/images/anime/1025/118252.jpg
9825,Tonari no Tokoro,,OVA,Original,1990-05-25,,,,G - All Ages,https://cdn.myanimelist.net/images/anime/4/27209.jpg
3837,Mashin Eiyuuden Wataru,,TV,Unknown,1988-04-15,1989-03-31,Spring 1988,Mecha,G - All Ages,https://cdn.myanimelist.net/images/anime/8/65417.jpg
35586,Jinryoku Senkan!? Shiokaze Sawakaze,,ONA,Original,2017-05-02,2018-11-10,,,PG-13 - Teens 13 or older,https://cdn.myanimelist.net/images/anime/7/87633.jpg
25053,Mister Ajikko Special,,Special,Manga,1989-02-09,,,,G - All Ages,https://cdn.myanimelist.net/images/anime/7/64113.jpg
8367,Crayon Shin-chan Movie 16: Chou Arashi wo Yobu Kinpoko no Yuusha,,Movie,Manga,2008-04-19,,,School,G - All Ages,https://cdn.myanimelist.net/images/anime/12/22031.jpg
24109,Tooryanse,,Music,Unknown,2014-01-14,,,Music,G - All Ages,https://cdn.myanimelist.net/images/anime/8/62887.jpg
998,Blue Seed,,TV,Manga,1994-10-05,1995-03-29,Fall 1994,Demons,PG-13 - Teens 13 or older,https://cdn.myanimelist.net/images/anime/2/14047.jpg
5713,Minami-ke Betsubara,,OVA,Manga,2009-06-23,,,,PG-13 - Teens 13 or older,https://cdn.myanimelist.net/images/anime/10/25454.jpg
3065,Ozanari Dungeon: Kaze no Tou,,OVA,Manga,1991-09-27,1991-12-20,,,PG-13 - Teens 13 or older,https://cdn.myanimelist.net/images/anime/1495/97336.jpg
17671,Animal 1,,TV,Unknown,1968-04-01,1968-09-30,Spring 1968,,PG-13 - Teens 13 or older,https://cdn.myanimelist.net/images/anime/2/47151.jpg
3057,Loveless Specials,,Special,Manga,2005-11-01,2006-04-27,,,PG-13 - Teens 13 or older,https://cdn.myanimelist.net/images/anime/10/22681.jpg
43013,Aku no Onna Kanbu: Full Moon Night R,,OVA,Visual novel,2020-10-02,2020-11-06,,,Rx - Hentai,https://cdn.myanimelist.net/images/anime/1027/115329.jpg
3674,Sayonara Zetsubou Sensei Jo: Zetsubou Shoujo Senshuu,,Special,Manga,2008-01-01,,,,PG-13 - Teens 13 or older,https://cdn.myanimelist.net/images/anime/9/21815.jpg
13307,Shounen Ninja Kaze no Fujimaru,,TV,Unknown,1964-06-07,1965-08-31,Summer 1964,Samurai,None,https://cdn.myanimelist.net/images/anime/13/56385.jpg
23061,Heya/Keitai,Gestalt,Movie,Original,1999-01-01,,,Music,G - All Ages,https://cdn.myanimelist.net/images/anime/7/59763.jpg
34757,Town Workers,,ONA,Original,2014-09-18,,,,PG-13 - Teens 13 or older,https://cdn.myanimelist.net/images/anime/4/83802.jpg
35446,Residence,,OVA,Manga,2017-05-12,2018-01-12,,Demons,Rx - Hentai,https://cdn.myanimelist.net/images/anime/1212/119735.jpg
44571,Lie Yang Tiandao I,,Movie,Original,2020-08-06,,,,PG-13 - Teens 13 or older,https://cdn.myanimelist.net/images/anime/1296/114407.jpg
1813,Genshiken OVA,,OVA,Manga,2006-12-22,2007-04-25,,Parody,PG-13 - Teens 13 or older,https://cdn.myanimelist.net/images/anime/2/21672.jpg
31251,Mobile Suit Gundam: Iron-Blooded Orphans,,TV,Original,2015-10-04,2016-03-27,Fall 2015,,R - 17+ (violence & profanity),https://cdn.myanimelist.net/images/anime/6/75879.jpg
1915,Mahou Shoujo Lyrical Nanoha StrikerS,Magical Girl Lyrical Nanoha StrikerS,TV,Original,2007-04-02,2007-09-24,Spring 2007,Super Power,PG-13 - Teens 13 or older,https://cdn.myanimelist.net/images/anime/3/14190.jpg
1217,Seikimatsu★Darling,,OVA,Manga,1996-02-16,,,,PG-13 - Teens 13 or older,https://cdn.myanimelist.net/images/anime/13/72910.jpg
48313,11-gatsu Umare no Otokonoko no Tame ni.,Dear November Boy,Movie,Original,2012-01-01,,,,G - All Ages,https://cdn.myanimelist.net/images/anime/1539/112584.jpg
38813,Asayake to Nettaigyo,,Music,Original,2018-01-07,,,Music,G - All Ages,https://cdn.myanimelist.net/images/anime/1299/106686.jpg
33393,Enkou Shoujo: Rikujoubu Yukki no Baai The Animation,,OVA,Visual novel,2016-08-26,,,,Rx - Hentai,https://cdn.myanimelist.net/images/anime/1229/112316.jpg
18525,Rin x Sen + Ran -> Sem: Cross Mix,,OVA,Visual novel,2013-06-28,2013-08-30,,,Rx - Hentai,https://cdn.myanimelist.net/images/anime/1125/119727.jpg
7176,Cheburashka Arere?,,TV,Book,2009-10-07,2010-03-31,Fall 2009,,G - All Ages,https://cdn.myanimelist.net/images/anime/8/33145.jpg
33985,Bloodivores,,TV,Web manga,2016-10-01,2016-12-17,Fall 2016,Vampire,R - 17+ (violence & profanity),https://cdn.myanimelist.net/images/anime/11/82233.jpg
12359,Pecola,,TV,Unknown,2002-10-06,2003-03-30,Fall 2002,,G - All Ages,https://cdn.myanimelist.net/images/anime/5/34759.jpg
3428,Injuu vs. Onna Spy,Spy of Darkness,OVA,Unknown,1997-03-28,,,,Rx - Hentai,https://cdn.myanimelist.net/images/anime/1484/113212.jpg
40301,Bomberman: Yuuki wo Arigatou - Watashi ga Mimi ni Naru,,Movie,Game,1995-04-13,,,Game,G - All Ages,https://cdn.myanimelist.net/images/anime/1809/102768.jpg
15547,Cross Fight B-Daman eS,B-Daman Fireblast,TV,Unknown,2012-10-07,2013-09-29,Fall 2012,Game,G - All Ages,https://cdn.myanimelist.net/images/anime/2/42247.jpg
24455,Madan no Ou to Vanadis,Lord Marksman and Vanadis,TV,Light novel,2014-10-04,2014-12-27,Fall 2014,Harem,R - 17+ (violence & profanity),https://cdn.myanimelist.net/images/anime/3/64911.jpg
29733,"Sayonara, Midori ga ike: Tobe! Tako Glider!!",,OVA,Unknown,2005-03-25,,,,G - All Ages,https://cdn.myanimelist.net/images/anime/8/71495.jpg
6219,Nijiiro Hotaru: Eien no Natsuyasumi,,Movie,Novel,2012-05-19,,,,G - All Ages,https://cdn.myanimelist.net/images/anime/13/37541.jpg
3839,Himitsu no Akko-chan 3,,TV,Unknown,1998-04-05,1999-02-28,Spring 1998,School,G - All Ages,https://cdn.myanimelist.net/images/anime/8/6843.jpg
934,Higurashi no Naku Koro ni,When They Cry,TV,Visual novel,2006-04-05,2006-09-27,Spring 2006,Psychological,R - 17+ (violence & profanity),https://cdn.myanimelist.net/images/anime/12/19634.jpg
36840,25-sai no Joshikousei,,TV,Web manga,2018-01-08,2018-03-26,Winter 2018,School,R+ - Mild Nudity,https://cdn.myanimelist.net/images/anime/12/89091.jpg
25897,Love Live! School Idol Project: μ's →NEXT LoveLive! 2014 - Endless Parade Makuai Drama,,Special,Other,2014-07-23,,,,PG-13 - Teens 13 or older,https://cdn.myanimelist.net/images/anime/5/65611.jpg
2348,Shitai wo Arau The Animation,,OVA,Visual novel,2003-06-27,2004-01-23,,,Rx - Hentai,https://cdn.myanimelist.net/images/anime/4/7405.jpg
49470,Mamahaha no Tsurego ga Motokano datta,,TV,Light novel,2022-01-01,,?,,PG-13 - Teens 13 or older,https://cdn.myanimelist.net/images/anime/1364/120704.jpg
29517,Kumi to Tulip,,Movie,Original,2015-03-22,,,,G - All Ages,https://cdn.myanimelist.net/images/anime/6/72483.jpg
984,Dragon Ball Z: Saiya-jin Zetsumetsu Keikaku,,OVA,Manga,1993-07-23,,,,PG-13 - Teens 13 or older,https://cdn.myanimelist.net/images/anime/1021/116787.jpg
39151,Risu no Matoi,,OVA,Original,1974-01-01,,,,G - All Ages,https://cdn.myanimelist.net/images/anime/1242/98673.jpg
40403,Shin Sakura Taisen the Animation,Sakura Wars the Animation,TV,Game,2020-04-03,2020-06-19,Spring 2020,Mecha,PG-13 - Teens 13 or older,https://cdn.myanimelist.net/images/anime/1341/105735.jpg
15139,Tsuki no Miya no Oujo-sama,,Movie,Original,1934-10-25,,,,G - All Ages,https://cdn.myanimelist.net/images/anime/12/69033.jpg
9326,Yubisaki Annainin Shirudaku Settai Okawari Sanhaime,,OVA,Visual novel,2010-09-17,2010-12-17,,,Rx - Hentai,https://cdn.myanimelist.net/images/anime/1337/119791.jpg
36226,Kai Feng Qitan: Zhege Baogong Bu Taixing,,ONA,Manga,2017-05-19,2017-07-21,,Historical,PG-13 - Teens 13 or older,https://cdn.myanimelist.net/images/anime/7/87504.jpg
50710,Urusei Yatsura (2022),Urusei Yatsura,TV,Manga,2022-01-01,,?,,None,https://cdn.myanimelist.net/images/anime/1558/120306.jpg
1457,Key the Metal Idol,,OVA,Original,1994-12-16,1997-06-18,,,PG-13 - Teens 13 or older,https://cdn.myanimelist.net/images/anime/5/11220.jpg
21009,Sekai de Ichiban Tsuyoku Naritai! Specials,,Special,Unknown,2013-12-12,2014-05-12,,,R+ - Mild Nudity,https://cdn.myanimelist.net/images/anime/7/55775.jpg
20725,"Lies, Lies.",,Music,Unknown,2010-10-27,,,Music,G - All Ages,https://cdn.myanimelist.net/images/anime/10/54851.jpg
43634,Ying,,Movie,Original,1988-01-01,,,,G - All Ages,https://cdn.myanimelist.net/images/anime/1979/118501.jpg
31665,Hibike! Euphonium: Kakedasu Monaka,"Sound! Euphonium Episode 14 – Ready, Set, Monaka",Special,Novel,2015-12-16,,,,PG-13 - Teens 13 or older,https://cdn.myanimelist.net/images/anime/2/77322.jpg
50466,Mou Sukoshi dake,,Music,Novel,2021-11-22,,,Music,PG-13 - Teens 13 or older,https://cdn.myanimelist.net/images/anime/1648/119673.jpg
11789,Wish Me Mell,,ONA,Other,2011-06-05,2012-07-20,,,G - All Ages,https://cdn.myanimelist.net/images/anime/13/32955.jpg
50111,OTMGirls no Yokiyoki Channel: Birthday Special Story,,Special,Other,2020-11-05,2021-11-05,,,G - All Ages,https://cdn.myanimelist.net/images/anime/1137/120930.jpg
37626,"""R100"" x Mameshiba Original Manners",,ONA,Other,2013-09-11,,,,PG-13 - Teens 13 or older,https://cdn.myanimelist.net/images/anime/1135/92193.jpg
34622,Giant Robo,,Special,Manga,2007-07-27,,,Mecha,G - All Ages,https://cdn.myanimelist.net/images/anime/13/83534.jpg
35780,Inyouchuu Shoku: Harami Ochiru Shoujo-tachi Anime Edition,,OVA,Visual novel,2017-08-04,,,Demons,Rx - Hentai,https://cdn.myanimelist.net/images/anime/1288/108384.jpg
36510,Ulysses: Jehanne Darc to Renkin no Kishi,Ulysses: Jeanne d'Arc and the Alchemist Knight,TV,Light novel,2018-10-07,2018-12-30,Fall 2018,,PG-13 - Teens 13 or older,https://cdn.myanimelist.net/images/anime/1143/96156.jpg
41379,Kimi wa Kanata,Over the Sky,Movie,Original,2020-11-27,,,,None,https://cdn.myanimelist.net/images/anime/1724/109743.jpg
14675,Rinne no Lagrange: Kamogawa Memoria,Lagrange: The Flower of Rin-ne Episode 00,Special,Unknown,2012-07-01,,,Mecha,PG-13 - Teens 13 or older,https://cdn.myanimelist.net/images/anime/7/39929.jpg
26141,Hato yo: Hiroshima no Sora wo,,OVA,Unknown,1999-01-01,,,Historical,G - All Ages,https://cdn.myanimelist.net/images/anime/6/66031.jpg
31621,Ooyasan wa Shishunki!,Ooya-san wa Shishunki!,TV,4-koma manga,2016-01-10,2016-03-27,Winter 2016,,PG-13 - Teens 13 or older,https://cdn.myanimelist.net/images/anime/13/77832.jpg
35368,Two on the Road: Itsumo Futari de,,OVA,Original,1992-01-01,,,Music,PG - Children,https://cdn.myanimelist.net/images/anime/2/85165.jpg
33661,Crayon Shin-chan Gaiden: Alien vs. Shinnosuke,,ONA,Manga,2016-08-03,2016-10-26,,Space,G - All Ages,https://cdn.myanimelist.net/images/anime/4/80926.jpg
40660,Start,,ONA,Original,2019-11-02,,,,G - All Ages,https://cdn.myanimelist.net/images/anime/1797/104155.jpg
16331,Next A-Class,,ONA,Original,2012-11-17,,,Cars,PG-13 - Teens 13 or older,https://cdn.myanimelist.net/images/anime/4/44099.jpg
10686,Naruto: Honoo no Chuunin Shiken! Naruto vs. Konohamaru!!,Chunin Exam on Fire! and Naruto vs. Konohamaru!,Movie,Manga,2011-07-30,,,,PG-13 - Teens 13 or older,https://cdn.myanimelist.net/images/anime/9/30813.jpg
29053,Orangutan,,Music,Original,1980-02-07,,,Music,G - All Ages,https://cdn.myanimelist.net/images/anime/4/69929.jpg
3420,Shigofumi,Shigofumi: Letters from the Departed,TV,Original,2008-01-06,2008-03-23,Winter 2008,Psychological,R - 17+ (violence & profanity),https://cdn.myanimelist.net/images/anime/4/50787.jpg
35035,Sam-chan no Obake Nanka Kowaku Nai,,OVA,Original,1998-08-01,,,,G - All Ages,https://cdn.myanimelist.net/images/anime/3/84567.jpg
5290,Keroro Gunsou Movie 3: Tenkuu Daikessen de Arimasu!,Keroro Movie 3,Movie,Unknown,2008-03-01,,,,PG - Children,https://cdn.myanimelist.net/images/anime/1558/98560.jpg
5630,Higashi no Eden,Eden of The East,TV,Original,2009-04-10,2009-06-19,Spring 2009,,R - 17+ (violence & profanity),https://cdn.myanimelist.net/images/anime/9/15033.jpg
35450,Five Fire Fish,,Movie,Original,2013-05-01,,,,G - All Ages,https://cdn.myanimelist.net/images/anime/10/85473.jpg
9959,Raiyantsuuri no Uta,,Movie,Unknown,1994-07-21,,,Historical,G - All Ages,https://cdn.myanimelist.net/images/anime/12/27526.jpg
253,Jungle wa Itsumo Hare nochi Guu,Haré+Guu,TV,Manga,2001-04-03,2001-09-25,Spring 2001,School,PG-13 - Teens 13 or older,https://cdn.myanimelist.net/images/anime/10/24555.jpg
9741,Nana to Kaoru,,OVA,Manga,2011-03-29,,,,R+ - Mild Nudity,https://cdn.myanimelist.net/images/anime/5/27379.jpg
5469,Birthday Boy,,Movie,Unknown,2004-01-01,,,,G - All Ages,https://cdn.myanimelist.net/images/anime/6/11253.jpg
28853,Pokemon: Pikachu to Pokemon Ongakutai,Pikachu and the Pokemon Music Squad,Movie,Game,2015-07-18,,,,PG - Children,https://cdn.myanimelist.net/images/anime/6/71600.jpg
8362,Crayon Shin-chan Movie 08: Arashi wo Yobu Jungle,,Movie,Manga,2000-04-22,,,,G - All Ages,https://cdn.myanimelist.net/images/anime/13/22024.jpg
27375,Hitoribotchi,,Movie,Unknown,1969-03-18,,,,G - All Ages,https://cdn.myanimelist.net/images/anime/1271/100909.jpg
5684,Fresh Precure!,,TV,Original,2009-02-01,2010-01-30,Winter 2009,,G - All Ages,https://cdn.myanimelist.net/images/anime/9/21267.jpg
22893,Mon Cheri CoCo,,TV,Manga,1972-08-27,1972-11-26,Summer 1972,,G - All Ages,https://cdn.myanimelist.net/images/anime/1852/109506.jpg
38145,"Doukyonin wa Hiza, Tokidoki, Atama no Ue.",My Roommate is a Cat,TV,Web manga,2019-01-09,2019-03-27,Winter 2019,,PG-13 - Teens 13 or older,https://cdn.myanimelist.net/images/anime/1251/99191.jpg
307,Kerokko Demetan,Adventures On Rainbow Pond,TV,Unknown,1973-01-02,1973-09-25,Winter 1973,,PG - Children,https://cdn.myanimelist.net/images/anime/1807/108565.jpg
33882,Kochira Katsushikaku Kameari Kouenmae Hashutsujo: Mezase! Kameari Superstar!! Ryoutsu-shiki Idol e no Michi!,,Special,Manga,2008-10-26,2008-11-02,,Police,PG-13 - Teens 13 or older,https://cdn.myanimelist.net/images/anime/11/81553.jpg
2470,Uchuu Kaizoku Captain Herlock: Arcadia-gou no Nazo,Space Pirate Captain Harlock: Riddle of the Arcadia Episode,Movie,Manga,1978-07-22,,,Space,PG-13 - Teens 13 or older,https://cdn.myanimelist.net/images/anime/5/56071.jpg
6153,Saint Seiya Recap,Saint Seiya: Summary,Special,Unknown,2003-01-25,,,,PG-13 - Teens 13 or older,https://cdn.myanimelist.net/images/anime/13/55471.jpg
13675,Taisei Kensetsu: Bosporus Kaikyou Tunnel,,Special,Original,2011-12-14,,,,G - All Ages,https://cdn.myanimelist.net/images/anime/11/47427.jpg
35206,Kirakira☆Precure A La Mode Movie: Paritto! Omoide no Mille-Feuille!,,Movie,Original,2017-10-28,,,,G - All Ages,https://cdn.myanimelist.net/images/anime/6/86547.jpg
4052,Medarot Damashii,Medabots Spirits,TV,Game,2000-07-07,2001-03-30,Summer 2000,,G - All Ages,https://cdn.myanimelist.net/images/anime/2/19960.jpg
42736,Pocket no Naka de,,Music,Original,1986-02-01,,,Music,G - All Ages,https://cdn.myanimelist.net/images/anime/1408/108988.jpg
21435,Yama no Susume Second Season,Encouragement of Climb Season 2,TV,Manga,2014-07-09,2014-12-24,Summer 2014,,PG-13 - Teens 13 or older,https://cdn.myanimelist.net/images/anime/10/56595.jpg
17623,Futago no Monchhichi,,TV,Unknown,1980-02-04,1980-08-01,Winter 1980,,PG - Children,https://cdn.myanimelist.net/images/anime/12/47049.jpg
42837,Spark Da!,,Music,Original,2014-06-01,,,Music,G - All Ages,https://cdn.myanimelist.net/images/anime/1507/109139.jpg
2345,Choujin Densetsu Urotsukidouji 5: Kanketsu-hen,,OVA,Unknown,1996-12-28,,,Demons,Rx - Hentai,https://cdn.myanimelist.net/images/anime/8/11745.jpg
6012,Kinpatsu no Jeanie,,TV,Music,1979-07-19,1979-10-18,Summer 1979,Historical,G - All Ages,https://cdn.myanimelist.net/images/anime/11/58201.jpg
21053,Ikemen Kyuugo-tai Nurse Angels,,TV,Unknown,2013-04-26,2013-06-28,Spring 2013,,PG-13 - Teens 13 or older,https://cdn.myanimelist.net/images/anime/10/55587.jpg
18179,Yowamushi Pedal,,TV,Manga,2013-10-08,2014-07-01,Fall 2013,,PG-13 - Teens 13 or older,https://cdn.myanimelist.net/images/anime/5/53211.jpg
35020,Sekai Jinken Sengen,,OVA,Original,1988-01-01,,,,G - All Ages,https://cdn.myanimelist.net/images/anime/3/84549.jpg
1650,Uchuu Senkan Yamato,Star Blazers: The Quest for Iscandar,TV,Original,1974-10-06,1975-03-30,Fall 1974,,PG-13 - Teens 13 or older,https://cdn.myanimelist.net/images/anime/1908/94946.jpg
44001,Xi Yangyang Yu Hui Tailang: Qiqu Waixing Ke,Pleasant Goat and Big Big Wolf: The Intriguing Alien Guests,TV,Unknown,2020-01-10,,?,,PG - Children,https://cdn.myanimelist.net/images/anime/1183/115290.jpg
30447,Shika to Kanta,Kanta and the Deer,OVA,Unknown,1992-04-01,,,,G - All Ages,https://cdn.myanimelist.net/images/anime/8/72849.jpg
2412,Cambrian,,OVA,Manga,2005-11-25,2006-05-25,,,Rx - Hentai,https://cdn.myanimelist.net/images/anime/12/37477.jpg
11161,Hoshizora e Kakaru Hashi: Kakaru ka? Gakuensai ni Koi no Hashi,,Special,Visual novel,2011-12-21,,,School,R+ - Mild Nudity,https://cdn.myanimelist.net/images/anime/10/30839.jpg
40983,Hakushon Daimaou 2020,,TV,Original,2020-04-11,2020-09-26,Spring 2020,,G - All Ages,https://cdn.myanimelist.net/images/anime/1621/105178.jpg
